Comunidades;Anio;PIB;Gasto;Numero_Parados;Numero_habitantes;Tasa_Paro;Inferior_2_etapa_Secundaria;2_etapa_Secundaria;Educacion_Superior;Tipo_Delito;Numero_Delitos;Tasa_Delitos
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Concurso de delitos;163.0;0.013699
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Contra el orden público;90.0;0.007564
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Contra el patrimonio y el orden socioeconomico;706.0;0.059332
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Contra la Administración de Justicia;70.0;0.005883
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Contra la libertad;49.0;0.004118
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Contra la seguridad colectiva;648.0;0.054458
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Lesiones;152.0;0.012774
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Otros delitos;221.0;0.018573
Aragon;2000;16351.13;6892.2;37500;1189909.0;3.15;;;;Total;2099.0;0.1764
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Concurso de delitos;178.0;0.014836
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Contra el orden público;138.0;0.011502
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Contra el patrimonio y el orden socioeconomico;718.0;0.059846
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Contra la Administración de Justicia;67.0;0.005584
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Contra la libertad;63.0;0.005251
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Contra la seguridad colectiva;732.0;0.061013
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Lesiones;183.0;0.015253
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Otros delitos;274.0;0.022838
Aragon;2001;17454.4;7361.03;25675;1199753.0;2.14;;;;Total;2353.0;0.196124
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Concurso de delitos;211.0;0.01733
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Contra el orden público;121.0;0.009938
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Contra el patrimonio y el orden socioeconomico;912.0;0.074907
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Contra la Administración de Justicia;108.0;0.008871
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Contra la libertad;54.0;0.004435
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Contra la seguridad colectiva;683.0;0.056098
Aragon;2002;18751.59;7780.57;30625;1217514.0;2.52;56.1;18.1;25.8;Lesiones;234.0;0.019219
