Comunidad autónoma;Tipo de delito;Total
Navarra (Comunidad Foral de);Contra la libertad e indemnidad sexuales;31
Navarra (Comunidad Foral de);De la omisión del deber de socorro;0
Navarra (Comunidad Foral de);Contra la intimidad, derecho a la propia imagen e inviolabil;1
Navarra (Comunidad Foral de);Contra el honor;5
Navarra (Comunidad Foral de);Contra las relaciones familiares;23
Navarra (Comunidad Foral de);Contra el patrimonio y el orden socioeconomico;317
Navarra (Comunidad Foral de);Contra la hacienda publica y la Seg.social;2
Navarra (Comunidad Foral de);Contra los derechos de los trabajadores;4
Navarra (Comunidad Foral de);Relativos a la ord. territorio y protección pat. y medio amb;0
Navarra (Comunidad Foral de);Contra la seguridad colectiva;769
Navarra (Comunidad Foral de);De las falsedades;28
Navarra (Comunidad Foral de);Contra la Administración Pública;0
Navarra (Comunidad Foral de);Contra la administración de justicia;125
Navarra (Comunidad Foral de);Contra la Constitución;1
Navarra (Comunidad Foral de);Contra el orden público;77
Navarra (Comunidad Foral de);delitos de traición y contra la paz o independencia;0
Navarra (Comunidad Foral de);Contra la comunidad internacional;0
Navarra (Comunidad Foral de);Concurso de delitos;136
País Vasco;Total;6.727
País Vasco;Homicidio y formas;37
País Vasco;Del Aborto;0
País Vasco;De las lesiones;1.116
País Vasco;De las lesiones al feto;0
País Vasco;Relativos a la manipulación genética;0
País Vasco;Contra la libertad;144
País Vasco;De las torturas y otros delitos contra la integirdad moral;61
País Vasco;Contra la libertad e indemnidad sexuales;66
País Vasco;De la omisión del deber de socorro;1
País Vasco;Contra la intimidad, derecho a la propia imagen e inviolabil;3
País Vasco;Contra el honor;4
País Vasco;Contra las relaciones familiares;118
País Vasco;Contra el patrimonio y el orden socioeconomico;1.754
País Vasco;Contra la hacienda publica y la Seg.social;6
País Vasco;Contra los derechos de los trabajadores;15
País Vasco;Relativos a la ord. territorio y protección pat. y medio amb;3
País Vasco;Contra la seguridad colectiva;2.005
País Vasco;De las falsedades;80
País Vasco;Contra la Administración Pública;4
País Vasco;Contra la administración de justicia;426
País Vasco;Contra la Constitución;5
País Vasco;Contra el orden público;296
País Vasco;delitos de traición y contra la paz o independencia;0
País Vasco;Contra la comunidad internacional;0
País Vasco;Concurso de delitos;583
Rioja (La);Total;1.241
Rioja (La);Homicidio y formas;7
Rioja (La);Del Aborto;0
Rioja (La);De las lesiones;192
Rioja (La);De las lesiones al feto;0
Rioja (La);Relativos a la manipulación genética;0
Rioja (La);Contra la libertad;30
Rioja (La);De las torturas y otros delitos contra la integirdad moral;19
Rioja (La);Contra la libertad e indemnidad sexuales;10
Rioja (La);De la omisión del deber de socorro;0
Rioja (La);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Rioja (La);Contra el honor;1
Rioja (La);Contra las relaciones familiares;20
Rioja (La);Contra el patrimonio y el orden socioeconomico;273
Rioja (La);Contra la hacienda publica y la Seg.social;2
Rioja (La);Contra los derechos de los trabajadores;8
Rioja (La);Relativos a la ord. territorio y protección pat. y medio amb;0
Rioja (La);Contra la seguridad colectiva;411
Rioja (La);De las falsedades;16
Rioja (La);Contra la Administración Pública;0
Rioja (La);Contra la administración de justicia;67
Rioja (La);Contra la Constitución;1
Rioja (La);Contra el orden público;105
Rioja (La);delitos de traición y contra la paz o independencia;0
Rioja (La);Contra la comunidad internacional;0
Rioja (La);Concurso de delitos;79
Ceuta;Total;1.368
Ceuta;Homicidio y formas;2
Ceuta;Del Aborto;0
Ceuta;De las lesiones;109
Ceuta;De las lesiones al feto;0
Ceuta;Relativos a la manipulación genética;0
Ceuta;Contra la libertad;5
Ceuta;De las torturas y otros delitos contra la integirdad moral;7
Ceuta;Contra la libertad e indemnidad sexuales;3
Ceuta;De la omisión del deber de socorro;0
Ceuta;Contra la intimidad, derecho a la propia imagen e inviolabil;2
Ceuta;Contra el honor;0
Ceuta;Contra las relaciones familiares;6
Ceuta;Contra el patrimonio y el orden socioeconomico;316
Ceuta;Contra la hacienda publica y la Seg.social;0
Ceuta;Contra los derechos de los trabajadores;179
Ceuta;Relativos a la ord. territorio y protección pat. y medio amb;3
Ceuta;Contra la seguridad colectiva;532
Ceuta;De las falsedades;17
Ceuta;Contra la Administración Pública;1
Ceuta;Contra la administración de justicia;33
Ceuta;Contra la Constitución;2
Ceuta;Contra el orden público;91
Ceuta;delitos de traición y contra la paz o independencia;0
Ceuta;Contra la comunidad internacional;0
Ceuta;Concurso de delitos;60
Melilla;Total;610
Melilla;Homicidio y formas;5
Melilla;Del Aborto;0
Melilla;De las lesiones;100
Melilla;De las lesiones al feto;0
Melilla;Relativos a la manipulación genética;0
Melilla;Contra la libertad;3
Melilla;De las torturas y otros delitos contra la integirdad moral;2
Melilla;Contra la libertad e indemnidad sexuales;2
Melilla;De la omisión del deber de socorro;1
Melilla;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Melilla;Contra el honor;1
Melilla;Contra las relaciones familiares;6
Melilla;Contra el patrimonio y el orden socioeconomico;168
Melilla;Contra la hacienda publica y la Seg.social;1
Melilla;Contra los derechos de los trabajadores;28
Melilla;Relativos a la ord. territorio y protección pat. y medio amb;0
Melilla;Contra la seguridad colectiva;84
Melilla;De las falsedades;47
Melilla;Contra la Administración Pública;0
Melilla;Contra la administración de justicia;31
Melilla;Contra la Constitución;0
Melilla;Contra el orden público;84
Melilla;delitos de traición y contra la paz o independencia;0
Melilla;Contra la comunidad internacional;0
Melilla;Concurso de delitos;47
Total;Total;142.746
Total;Homicidio y formas;570
Total;Del Aborto;4
Total;De las lesiones;23.429
Total;De las lesiones al feto;2
Total;Relativos a la manipulación genética;1
Total;Contra la libertad;3.657
Total;De las torturas y otros delitos contra la integirdad moral;2.238
Total;Contra la libertad e indemnidad sexuales;1.322
Total;De la omisión del deber de socorro;38
Total;Contra la intimidad, derecho a la propia imagen e inviolabil;88
Total;Contra el honor;72
Total;Contra las relaciones familiares;3.094
Total;Contra el patrimonio y el orden socioeconomico;36.238
Total;Contra la hacienda publica y la Seg.social;242
Total;Contra los derechos de los trabajadores;720
Total;Relativos a la ord. territorio y protección pat. y medio amb;274
Total;Contra la seguridad colectiva;42.512
Total;De las falsedades;2.409
Total;Contra la Administración Pública;80
Total;Contra la administración de justicia;7.827
Total;Contra la Constitución;75
Total;Contra el orden público;6.391
Total;delitos de traición y contra la paz o independencia;10
Total;Contra la comunidad internacional;1
Total;Concurso de delitos;11.452
