Comunidades autónomas;Tipo de delito;Total
Navarra;Contra la administración de justicia;38
Navarra;Contra la Constitución;78
Navarra;Contra el orden público;27
Navarra;delitos de traición y contra la paz o independencia;1
Navarra;Contra la comunidad internacional;0
Navarra;Concurso de delitos;56
Navarra;No consta;0
País Vasco;Total;5.958
País Vasco;Homicidio y formas;19
País Vasco;Del Aborto;0
País Vasco;De las lesiones;197
País Vasco;De las lesiones al feto;2
País Vasco;Relativos a la manipulación genetica;0
País Vasco;Contra la libertad;39
País Vasco;De las torturas y otros delitos contra la integirdad moral;1
País Vasco;Contra la libertad e indemnidad sexuales;53
País Vasco;De la omisión del deber de socorro;1
País Vasco;Contra la intimidad, derecho a la propia imagen e inviolabil;1
País Vasco;Contra el honor;5
País Vasco;Contra las relaciones familiares;68
País Vasco;Contra el patrimonio y el orden socioeconomico;1.813
País Vasco;Contra la hacienda publica y la Seg.social;27
País Vasco;Contra los derechos de los trabajadores;6
País Vasco;Relativos a la ord. territorio y protección pat. y medio amb;1
País Vasco;Contra la seguridad colectiva;2.324
País Vasco;De las falsedades;499
País Vasco;Contra la Administración Pública;19
País Vasco;Contra la administración de justicia;151
País Vasco;Contra la Constitución;65
País Vasco;Contra el orden público;231
País Vasco;delitos de traición y contra la paz o independencia;0
País Vasco;Contra la comunidad internacional;0
País Vasco;Concurso de delitos;420
País Vasco;No consta;16
Rioja (La);Total;559
Rioja (La);Homicidio y formas;0
Rioja (La);Del Aborto;0
Rioja (La);De las lesiones;26
Rioja (La);De las lesiones al feto;0
Rioja (La);Relativos a la manipulación genetica;0
Rioja (La);Contra la libertad;5
Rioja (La);De las torturas y otros delitos contra la integirdad moral;0
Rioja (La);Contra la libertad e indemnidad sexuales;4
Rioja (La);De la omisión del deber de socorro;0
Rioja (La);Contra la intimidad, derecho a la propia imagen e inviolabil;0
Rioja (La);Contra el honor;1
Rioja (La);Contra las relaciones familiares;4
Rioja (La);Contra el patrimonio y el orden socioeconomico;212
Rioja (La);Contra la hacienda publica y la Seg.social;0
Rioja (La);Contra los derechos de los trabajadores;0
Rioja (La);Relativos a la ord. territorio y protección pat. y medio amb;1
Rioja (La);Contra la seguridad colectiva;188
Rioja (La);De las falsedades;20
Rioja (La);Contra la Administración Pública;0
Rioja (La);Contra la administración de justicia;16
Rioja (La);Contra la Constitución;5
Rioja (La);Contra el orden público;33
Rioja (La);delitos de traición y contra la paz o independencia;0
Rioja (La);Contra la comunidad internacional;0
Rioja (La);Concurso de delitos;43
Rioja (La);No consta;1
Ceuta;Total;710
Ceuta;Homicidio y formas;4
Ceuta;Del Aborto;0
Ceuta;De las lesiones;42
Ceuta;De las lesiones al feto;0
Ceuta;Relativos a la manipulación genetica;0
Ceuta;Contra la libertad;1
Ceuta;De las torturas y otros delitos contra la integirdad moral;0
Ceuta;Contra la libertad e indemnidad sexuales;2
Ceuta;De la omisión del deber de socorro;0
Ceuta;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Ceuta;Contra el honor;0
Ceuta;Contra las relaciones familiares;2
Ceuta;Contra el patrimonio y el orden socioeconomico;170
Ceuta;Contra la hacienda publica y la Seg.social;0
Ceuta;Contra los derechos de los trabajadores;30
Ceuta;Relativos a la ord. territorio y protección pat. y medio amb;0
Ceuta;Contra la seguridad colectiva;275
Ceuta;De las falsedades;60
Ceuta;Contra la Administración Pública;3
Ceuta;Contra la administración de justicia;11
Ceuta;Contra la Constitución;1
Ceuta;Contra el orden público;56
Ceuta;delitos de traición y contra la paz o independencia;1
Ceuta;Contra la comunidad internacional;0
Ceuta;Concurso de delitos;48
Ceuta;No consta;4
Melilla;Total;883
Melilla;Homicidio y formas;6
Melilla;Del Aborto;0
Melilla;De las lesiones;37
Melilla;De las lesiones al feto;0
Melilla;Relativos a la manipulación genetica;0
Melilla;Contra la libertad;2
Melilla;De las torturas y otros delitos contra la integirdad moral;0
Melilla;Contra la libertad e indemnidad sexuales;6
Melilla;De la omisión del deber de socorro;0
Melilla;Contra la intimidad, derecho a la propia imagen e inviolabil;0
Melilla;Contra el honor;0
Melilla;Contra las relaciones familiares;2
Melilla;Contra el patrimonio y el orden socioeconomico;375
Melilla;Contra la hacienda publica y la Seg.social;7
Melilla;Contra los derechos de los trabajadores;44
Melilla;Relativos a la ord. territorio y protección pat. y medio amb;0
Melilla;Contra la seguridad colectiva;197
Melilla;De las falsedades;70
Melilla;Contra la Administración Pública;14
Melilla;Contra la administración de justicia;14
Melilla;Contra la Constitución;0
Melilla;Contra el orden público;43
Melilla;delitos de traición y contra la paz o independencia;0
Melilla;Contra la comunidad internacional;0
Melilla;Concurso de delitos;65
Melilla;No consta;1
Total nacional;Total;98.500
Total nacional;Homicidio y formas;411
Total nacional;Del Aborto;2
Total nacional;De las lesiones;4.445
Total nacional;De las lesiones al feto;12
Total nacional;Relativos a la manipulación genetica;1
Total nacional;Contra la libertad;640
Total nacional;De las torturas y otros delitos contra la integirdad moral;23
Total nacional;Contra la libertad e indemnidad sexuales;993
Total nacional;De la omisión del deber de socorro;24
Total nacional;Contra la intimidad, derecho a la propia imagen e inviolabil;68
Total nacional;Contra el honor;42
Total nacional;Contra las relaciones familiares;1.970
Total nacional;Contra el patrimonio y el orden socioeconomico;38.881
Total nacional;Contra la hacienda publica y la Seg.social;180
Total nacional;Contra los derechos de los trabajadores;196
Total nacional;Relativos a la ord. territorio y protección pat. y medio amb;108
Total nacional;Contra la seguridad colectiva;33.785
Total nacional;De las falsedades;2.657
Total nacional;Contra la Administración Pública;189
Total nacional;Contra la administración de justicia;2.702
Total nacional;Contra la Constitución;533
Total nacional;Contra el orden público;3.294
Total nacional;delitos de traición y contra la paz o independencia;8
Total nacional;Contra la comunidad internacional;0
Total nacional;Concurso de delitos;7.052
Total nacional;No consta;284
