Tipo de delito;Sexo del infractor;Lugar de condena;Total
3. Lesiones;Total;Cataluña;4.797
3. Lesiones;Total;Comunitat Valenciana;4.427
3. Lesiones;Total;Extremadura;698
3. Lesiones;Total;Galicia;2.261
3. Lesiones;Total;Madrid (Comunidad de)(1);3.942
3. Lesiones;Total;Murcia (Región de);1.536
3. Lesiones;Total;Navarra (Comunidad Foral de);592
3. Lesiones;Total;País Vasco;1.657
3. Lesiones;Total;Rioja (La);257
3. Lesiones;Total;Ceuta;101
3. Lesiones;Total;Melilla;85
3. Lesiones;Varón;Total;34.420
3. Lesiones;Varón;Andalucía;7.054
3. Lesiones;Varón;Aragón;953
3. Lesiones;Varón;Asturias (Principado de);763
3. Lesiones;Varón;Balears (Illes);1.504
3. Lesiones;Varón;Canarias;1.922
3. Lesiones;Varón;Cantabria;557
3. Lesiones;Varón;Castilla y León;1.329
3. Lesiones;Varón;Castilla-La Mancha;1.411
3. Lesiones;Varón;Cataluña;4.518
3. Lesiones;Varón;Comunitat Valenciana;4.124
3. Lesiones;Varón;Extremadura;648
3. Lesiones;Varón;Galicia;2.077
3. Lesiones;Varón;Madrid (Comunidad de)(1);3.671
3. Lesiones;Varón;Murcia (Región de);1.444
3. Lesiones;Varón;Navarra (Comunidad Foral de);544
3. Lesiones;Varón;País Vasco;1.494
3. Lesiones;Varón;Rioja (La);236
3. Lesiones;Varón;Ceuta;95
3. Lesiones;Varón;Melilla;76
3. Lesiones;Mujer;Total;2.608
3. Lesiones;Mujer;Andalucía;492
3. Lesiones;Mujer;Aragón;84
3. Lesiones;Mujer;Asturias (Principado de);70
3. Lesiones;Mujer;Balears (Illes);83
3. Lesiones;Mujer;Canarias;157
3. Lesiones;Mujer;Cantabria;43
3. Lesiones;Mujer;Castilla y León;134
3. Lesiones;Mujer;Castilla-La Mancha;119
3. Lesiones;Mujer;Cataluña;279
3. Lesiones;Mujer;Comunitat Valenciana;303
3. Lesiones;Mujer;Extremadura;50
3. Lesiones;Mujer;Galicia;184
