Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
Total Nacional;Mujeres;De 36 a 40 años;2015;4.420
Total Nacional;Mujeres;De 36 a 40 años;2014;3.843
Total Nacional;Mujeres;De 36 a 40 años;2013;3.548
Total Nacional;Mujeres;De 41 a 50 años;2019;12.005
Total Nacional;Mujeres;De 41 a 50 años;2018;11.750
Total Nacional;Mujeres;De 41 a 50 años;2017;11.341
Total Nacional;Mujeres;De 41 a 50 años;2016;9.902
Total Nacional;Mujeres;De 41 a 50 años;2015;6.178
Total Nacional;Mujeres;De 41 a 50 años;2014;4.995
Total Nacional;Mujeres;De 41 a 50 años;2013;4.683
Total Nacional;Mujeres;De 51 a 60 años;2019;6.000
Total Nacional;Mujeres;De 51 a 60 años;2018;5.487
Total Nacional;Mujeres;De 51 a 60 años;2017;5.427
Total Nacional;Mujeres;De 51 a 60 años;2016;4.545
Total Nacional;Mujeres;De 51 a 60 años;2015;2.400
Total Nacional;Mujeres;De 51 a 60 años;2014;1.833
Total Nacional;Mujeres;De 51 a 60 años;2013;1.570
Total Nacional;Mujeres;De 61 a 70 años;2019;2.297
Total Nacional;Mujeres;De 61 a 70 años;2018;2.018
Total Nacional;Mujeres;De 61 a 70 años;2017;2.037
Total Nacional;Mujeres;De 61 a 70 años;2016;1.598
Total Nacional;Mujeres;De 61 a 70 años;2015;683
Total Nacional;Mujeres;De 61 a 70 años;2014;507
Total Nacional;Mujeres;De 61 a 70 años;2013;417
Total Nacional;Mujeres;71 y más años;2019;778
Total Nacional;Mujeres;71 y más años;2018;722
Total Nacional;Mujeres;71 y más años;2017;710
Total Nacional;Mujeres;71 y más años;2016;548
Total Nacional;Mujeres;71 y más años;2015;203
Total Nacional;Mujeres;71 y más años;2014;121
Total Nacional;Mujeres;71 y más años;2013;114
01 Andalucía;Total;Total ;2019;54.848
01 Andalucía;Total;Total ;2018;56.893
01 Andalucía;Total;Total ;2017;55.657
01 Andalucía;Total;Total ;2016;53.174
01 Andalucía;Total;Total ;2015;43.851
01 Andalucía;Total;Total ;2014;42.564
01 Andalucía;Total;Total ;2013;44.033
01 Andalucía;Total;De 18 a 20 años;2019;4.300
01 Andalucía;Total;De 18 a 20 años;2018;4.739
01 Andalucía;Total;De 18 a 20 años;2017;4.821
